,video_id,video_title,upload_date,view_count,like_count,comment_count
0,RmQ5f5YQn58,"Маргинал, Антон ВХС и Силентиум советуют фильмы",2022-02-09,12223,629,74
1,ugaF4kqTA58,Маргинал и Кашин про ситуации на Украине и в Казахстане,2022-02-07,22325,929,402
2,AWCv-fm0a4o,Маргинал про противостояние России и Украины,2022-02-06,57659,2494,1180
3,JpyNNA7v0OM,Маргинал защищает американских деревенщин от левой пропаганды,2022-02-04,50879,2376,351
4,M2gSiQW4epo,Программист из Канады в гостях у Маргинала,2022-02-02,19397,951,302
5,_7UYWjxlBUw,Маргинал спорит со Световым про гражданские права,2022-01-30,44852,1765,353
6,tualeo6x6ro,Маргинал про рекламу на своих ресурсах,2022-01-28,29643,1074,173
7,OOV1foErSFo,Маргинал смотрит про американскую культуру,2022-01-26,69417,2836,398
8,ldJ6-TjaPWg,Маргинал учит LGBT+ флаги,2022-01-24,30903,1070,224
9,xRIBblABwZY,Маргинал про британские сериалы,2022-01-21,31543,1034,173
10,YHNS6so5hM8,Маргинал смотрит Скьёлда про Локи,2022-01-16,52312,1672,204
11,4YIeWdOMQLw,Маргинал и Каргин подводят итоги 2021 года,2022-01-11,21811,698,119
12,70NGTM0mpo4,Маргинал и Звонов спорят про материю и идею,2022-01-07,31252,1332,411
13,phbOX1IYVaw,Маргинал про фейковое величие Китая,2022-01-05,67550,2722,551
14,UyrvMBUBjSA,Маргинал отвечает на очередную критику своей позиции про аборты,2022-01-03,48282,2082,607
15,Ge0ecI5wz4A,Маргинал смотрит обзор на Час оборотня,2021-12-29,29564,1386,86
16,vtXHyM-46lQ,Маргинал судит дебаты про воинскую повинность,2021-12-27,45169,1850,470
17,jgF62UmIEMY,Маргинал спорит про жизнь в США,2021-12-25,91406,2560,466
18,hOkW_S2cJPk,Маргинал про работу на дядю,2021-12-24,58541,2282,628
19,PCVlza91_oI,Маргинал критикует тейки Красовского о пытках в тюрьмах,2021-12-22,50396,2112,286
20,-DdGQwVSkC0,Маргинал беседует с Упоротым Палеонтологом,2021-12-20,63139,2556,269
21,YOCT0vGRJF0,Мэддисон в гостях у Маргинала,2021-12-18,77192,2992,206
22,Yuy9xjkLghg,Маргинал бомбит на кинотеорию ЧБУ,2021-12-17,52824,2185,482
23,EPUDd1dtd68,Борис Бурда в гостях у Маргинала и Каргина,2021-12-15,35437,1517,293
24,MJJabqLu9Gc,Маргинал смотрит про фильмы с ДНК Чужого,2021-12-13,24101,842,57
